,BM,HML,SMB,MOM,OP,INV,REV
2016-09-23,372.1633313327428,0.4237648795947791,96.40970107964912,55.004365024413296,95.33116828371548,14.827759865142154,243.4555810479327
2016-09-30,372.45841382879075,0.41851179094295177,96.47696878343011,54.30680118243382,93.87090943517228,14.540269001410822,239.71832803266608
2016-10-07,369.6921809549116,0.4140274214117154,96.65670353480019,53.94930596388075,94.1446475664954,14.521661846139875,238.9678920090336
2016-10-14,366.07091587175415,0.41066842945490045,96.11890614819576,54.680050224388744,95.7916871538011,14.52499630648834,243.48007200769965
2016-10-21,367.85301308652805,0.40854367661375085,96.08812624524309,54.577498867487726,95.05774671822603,14.476135297579743,242.56506836560067
2016-10-28,365.5361546740454,0.4063556707333732,93.51143824793492,55.26306896520074,97.55717256109482,14.620344669966673,246.54991602804776
2016-11-04,359.2671264439509,0.39787430741994856,91.23819678874118,56.036177643265205,98.51226550016762,14.652477277253679,241.3897547494178
2016-11-11,374.5760606426174,0.3745511250252402,100.31920484836866,53.488787231410434,94.56204034994823,14.475806431544036,251.2774609259219
2016-11-18,378.681115193284,0.3686866920606233,101.40895819522886,54.16745435467722,93.91901748265273,14.46713937966928,250.824858152547
2016-11-25,384.592893857089,0.3616610763162051,102.46439329816688,54.490709052085926,93.78995023657055,14.371080386721065,250.6662588130125
2016-12-02,380.0539336554999,0.35594723329898365,100.40346408140546,55.37847431576269,95.35262055365786,14.299355932860392,248.23843680315318
2016-12-09,392.8335469936368,0.3481822624771699,103.68384472397416,53.978851810070346,95.71308557072355,14.311648232692704,245.0543295462242
2016-12-16,391.73427128404086,0.34964824368692493,103.31015482976507,54.30082593252846,96.36712413171372,14.456419971140258,247.1074067435673
2016-12-23,392.75938258595033,0.34727037686723733,104.39442253339023,54.54691213886351,96.22639410395804,14.477587001023352,244.5193155166638
